StateID,BirthYear,PayrollType,PayrollFrequency,NetIncome,GrossIncome,LeadProvider,RequestedAmount,BankAccountType,SubAffiliateId,LeadCost,percentProfit
MA,1977,Direct Deposit,Weekly,2479,0,Lead Toro $5,500,Checking,,5,-0.878366667
MA,1965,Direct Deposit,Weekly,4300,0,Leads Market $5,1300,Checking,,0,1.082284615
NH,1974,Direct Deposit,Bi-Weekly,2500,0,Leads Market $5,1050,Checking,,5,2.6805
MA,1993,Direct Deposit,Semi-Monthly,2000,0,Dot 818 $5,705,Checking,,5,0.265247715
MA,1975,Direct Deposit,Weekly,4000,0,Lead Toro $5,250,Checking,,0,1.64344
NH,1968,Direct Deposit,Bi-Weekly,6000,0,Dot 818 $5,500,Checking,,5,2.036
MA,1974,Direct Deposit,Weekly,2284,2640,SPRG.com,200,Checking,Day to day expenses,0,1.45695
MA,1980,Direct Deposit,Weekly,4500,0,Leads Market $5,1300,Checking,,5,1.514811111
FL,1970,Direct Deposit,Bi-Weekly,2500,0,Dot 818 $15,500,Checking,,15,1.243285714
MA,1990,Direct Deposit,Weekly,3000,0,Dot 818 $5,864,Checking,,5,0.702087013
MA,1990,Direct Deposit,Weekly,3000,0,Dot 818 $5,500,Checking,,5,1.2468335
MA,1992,Direct Deposit,Bi-Weekly,2500,0,Leads Market $5,800,Checking,,5,-0.0867
MA,1996,Direct Deposit,Weekly,2000,0,Dot 818 $5,800,Checking,,5,1.345438286
GA,1981,Direct Deposit,Weekly,4500,0,Leads Market $5,400,Checking,,0,1.2687
MA,1969,Direct Deposit,Weekly,6500,0,Dot 818 $5,300,Checking,,5,0.061511333
MA,1975,Direct Deposit,Bi-Weekly,5000,0,PW Other Sites $15,500,Checking,,15,2.8828
MA,1972,Direct Deposit,Weekly,3000,0,Dot 818 $5,500,Checking,,5,1.124766667
MA,1989,Direct Deposit,Weekly,6474,0,SPRG.com,800,Checking,Other,0,1.525425
VA,1990,Direct Deposit,Bi-Weekly,3001,0,Dot 818 $5,300,Checking,,0,0.571
MA,1988,Direct Deposit,Bi-Weekly,3315,3700,SPRG.com,750,Checking,Medical - Dental,0,0.544033333
MA,1996,Direct Deposit,Weekly,3500,0,Leads Market $5,250,Checking,,0,0.5788
RI,1985,Direct Deposit,Weekly,2750,0,Lead Toro $5,500,Checking,,5,-0.5951
MA,1977,Direct Deposit,Weekly,2500,0,Dot 818 $5,500,Checking,,5,1.239285714
NH,1981,Direct Deposit,Bi-Weekly,2500,0,Dot 818 $5,600,Checking,,5,2.7594
MA,1994,Direct Deposit,Weekly,2500,0,Leads Market $5,800,Checking,,5,1.54344
MA,1994,Direct Deposit,Weekly,2500,0,Dot 818 $5,500,Checking,,5,1.61344
MA,1979,Direct Deposit,Monthly,4000,0,PW Other Sites $15,500,Checking,,15,-0.240566667
MA,1984,Direct Deposit,Semi-Monthly,2500,0,Leads Market $5,400,Checking,,0,-0.3729
MA,1982,Direct Deposit,Semi-Monthly,3348,3500,SPRG.com,200,Checking,Car repair,0,2.848
MA,1990,Direct Deposit,Weekly,2200,0,Leads Market $5,800,Checking,,5,-0.7884
FL,1990,Direct Deposit,Bi-Weekly,2846,0,Lead Toro $15,800,Checking,,15,-2
MA,1994,Direct Deposit,Bi-Weekly,4070,0,Dot 818 $5,300,Checking,,5,1.7436
MA,1963,Direct Deposit,Weekly,3501,0,Lead Toro $5,500,Checking,,5,-1.025
MA,1990,Direct Deposit,Weekly,4500,0,Lead Toro $5,500,Checking,,5,-0.84496
MA,1990,Direct Deposit,Weekly,5001,0,Dot 818 $5,500,Checking,,5,-1.002755556
MA,1990,Direct Deposit,Weekly,4700,0,Money Mutual $20,825,Checking,,20,1.140419048
MA,1996,Direct Deposit,Bi-Weekly,2000,0,Dot 818 $5,500,Checking,,5,-0.208333
MA,1970,Direct Deposit,Weekly,2000,0,Lead Toro $5,500,Checking,,5,-0.53516
MA,1972,Direct Deposit,Weekly,2305,0,Loan Transfer,800,Checking,,0,1.5260125
MA,1985,Direct Deposit,Weekly,5001,0,PW Other Sites $15,500,Checking,,15,-0.1969
MA,1987,Direct Deposit,Bi-Weekly,3000,0,Leads Market $5,675,Checking,,0,2.557511111
TN,1984,Direct Deposit,Bi-Weekly,3000,0,Loan Transfer,420,Checking,,0,2.4975
MA,1992,Direct Deposit,Weekly,2000,0,Dot 818 $5,500,Checking,,5,1.4042
MA,1992,Direct Deposit,Weekly,2028,2200,SPRG.com,800,Checking,Other,0,-0.8317
MA,1992,Direct Deposit,Weekly,3000,0,Dot 818 $5,500,Checking,,5,1.342155556
MA,1973,Direct Deposit,Weekly,4000,0,Dot 818 $5,800,Checking,,5,-0.38252
MA,1992,Direct Deposit,Weekly,1600,0,Dot 818 $5,200,Checking,,0,0.1590335
MA,1971,Direct Deposit,Semi-Monthly,1600,0,Dot 818 $5,300,Checking,,0,-0.4965
MA,1975,Direct Deposit,Weekly,4000,0,Dot 818 $5,800,Checking,,5,-1.166666667
MA,1985,Direct Deposit,Weekly,3000,0,Money Mutual $20,500,Checking,,20,-1.114285714
MA,1989,Direct Deposit,Bi-Weekly,3000,0,Dot 818 $5,500,Checking,,5,-1.1
MA,1989,Direct Deposit,Weekly,2002,0,Lead Toro $5,500,Checking,,5,-0.46688
MA,1990,Direct Deposit,Weekly,3000,0,Dot 818 $5,600,Checking,,5,-0.398285714
MA,1992,Direct Deposit,Weekly,2210,0,SPRG.com,500,Checking,,0,-0.4951
MA,1996,Direct Deposit,Bi-Weekly,2000,0,Dot 818 $5,200,Checking,,5,2.7456
MA,1994,Direct Deposit,Bi-Weekly,3500,0,Money Mutual $20,350,Checking,,0,1.219914286
MA,1969,Direct Deposit,Weekly,2864,2500,SPRG.com,200,Saving,,0,1.5869
NM,1961,Direct Deposit,Weekly,4500,0,Dot 818 $15,500,Checking,,15,0.27338
MA,1967,Direct Deposit,Weekly,1000,0,CFRY.com,770,Checking,,0,1.544714286
MA,1971,Direct Deposit,Weekly,2500,0,Lead Toro $5,200,Checking,,5,-0.8134
MA,1975,Direct Deposit,Bi-Weekly,2280,0,Leads Market $5,200,Checking,,5,1.68915
MA,1963,Direct Deposit,Bi-Weekly,3000,0,Dot 818 $5,800,Checking,,5,2.0202
MA,1981,Direct Deposit,Bi-Weekly,5000,0,Dot 818 $5,500,Checking,,5,-1.02
MA,1977,Direct Deposit,Bi-Weekly,3000,0,Dot 818 $5,500,Checking,,5,0.1144
MA,1974,Direct Deposit,Monthly,4500,0,Loan Transfer,800,Checking,,0,0.97965
MA,1976,Direct Deposit,Weekly,5000,0,Leads Market $5,800,Checking,,5,-1.016666667
MA,1982,Direct Deposit,Weekly,6500,0,Lead Toro $5,500,Checking,,5,0.036
MA,1986,Direct Deposit,Bi-Weekly,6000,0,Lead Toro $5,600,Checking,,5,3.2712335
MA,1988,Direct Deposit,Bi-Weekly,2000,0,PW Other Sites $15,500,Checking,,15,1.314571429
MA,1989,Direct Deposit,Weekly,6000,0,Dot 818 $5,500,Checking,,5,-1.078571429
MD,1988,Direct Deposit,Weekly,2011,0,SPRG.com,500,Checking,Other,0,3.31915
MA,1981,Direct Deposit,Monthly,2500,0,Loan Transfer,315,Checking,,0,1.515238095
MA,1992,Direct Deposit,Weekly,2500,0,Leads Market $5,800,Checking,,5,-0.8567
MA,1992,Direct Deposit,Semi-Monthly,3000,0,Dot 818 $5,300,Checking,,0,0.606533333
MA,1994,Paper Check,Weekly,2000,0,Dot 818 $5,500,Checking,,5,-0.8450532
MA,1994,Direct Deposit,Weekly,3250,0,Dot 818 $5,800,Checking,,5,-0.3393
MA,1967,Direct Deposit,Weekly,5000,0,Dot 818 $5,800,Checking,,5,1.67995
MA,1968,Direct Deposit,Bi-Weekly,6500,0,Money Mutual $20,500,Checking,,20,0.1844
MA,1965,Direct Deposit,Bi-Weekly,4897,4500,SPRG.com,400,Checking,,0,0.761825
MA,1978,Direct Deposit,Weekly,2500,0,PW Other Sites $15,500,Checking,,15,0.9126
MA,1981,Direct Deposit,Weekly,3501,0,Lead Toro $5,400,Checking,,0,1.525425
NC,1984,Direct Deposit,Bi-Weekly,2167,0,SPRG.com,800,Checking,Day to day expenses,0,-1
AL,1994,Direct Deposit,Bi-Weekly,2249,3100,SPRG.com,350,Checking,Other,0,2.7706
MA,1996,Direct Deposit,Weekly,2258,0,Leads Market $5,500,Checking,,5,1.649914286
MA,1974,Direct Deposit,Bi-Weekly,4750,0,Lead Toro $5,500,Checking,,5,0.5005
MA,1957,Direct Deposit,Weekly,4500,0,Leads Market $5,750,Checking,,0,1.51856
MA,1972,Direct Deposit,Bi-Weekly,6500,0,Lead Toro $5,300,Checking,,0,2.4976
MA,1980,Direct Deposit,Weekly,3000,0,Lead Toro $5,350,Checking,,0,1.217657143
MA,1976,Direct Deposit,Bi-Weekly,5000,0,Leads Market $5,450,Checking,,0,-0.70856
MA,1976,Direct Deposit,Bi-Weekly,2000,0,Dot 818 $5,250,Checking,,0,2.973833333
MA,1990,Direct Deposit,Weekly,3500,0,Leads Market $5,400,Checking,,0,1.526188235
MA,1992,Direct Deposit,Weekly,2200,0,Money Mutual $20,500,Checking,,20,1.365428571
MA,1994,Direct Deposit,Weekly,2626,4200,SPRG.com,800,Checking,Car repair,0,-0.663428571
MA,1975,Direct Deposit,Weekly,6000,0,Leads Market $5,800,Checking,,5,0.08
MA,1956,Direct Deposit,Semi-Monthly,6000,0,Loan Transfer,1000,Checking,,0,0.73489
NH,1968,Direct Deposit,Weekly,5000,0,SPRG.com,400,Checking,,0,0.85312
MA,1965,Direct Deposit,Weekly,5000,0,Lead Toro $5,350,Saving,,0,1.615314286
MA,1958,Direct Deposit,Weekly,6000,0,Loan Transfer,470,Checking,,0,1.514617021
ME,1995,Direct Deposit,Monthly,3000,0,SPRG.com,200,Saving,,0,-0.4951
MA,1997,Direct Deposit,Weekly,3000,0,SPRG.com,700,Checking,Other,0,1.692771429
MA,1997,Direct Deposit,Weekly,5000,0,Leads Market $5,500,Checking,,5,0.086433333
SD,1963,Direct Deposit,Bi-Weekly,2500,0,Dot 818 $15,600,Checking,,0,2.3754
MA,1967,Direct Deposit,Weekly,2500,0,Loan Transfer,560,Checking,,0,-0.55225
MA,1988,Direct Deposit,Semi-Monthly,2751,0,Leads Market $5,500,Checking,,5,2.884228571
MA,1991,Direct Deposit,Weekly,4000,0,Leads Market $5,800,Checking,,5,-0.4268
MA,1991,Direct Deposit,Bi-Weekly,2500,0,PW Other Sites $15,500,Checking,,15,1.108775
MA,1955,Direct Deposit,Bi-Weekly,4767,0,SPRG.com,1300,Checking,,0,2.268954545
MA,1961,Direct Deposit,Weekly,5000,0,PW Other Sites $15,2675,Checking,,15,1.281865421
MA,1967,Direct Deposit,Weekly,5000,0,Leads Market $5,2420,Checking,,5,1.622839623
NH,1990,Direct Deposit,Weekly,5500,0,Dot 818 $5,500,Checking,,5,1.550866667
MA,1989,Direct Deposit,Weekly,600,0,Loan Transfer,220,Checking,,0,1.097772727
MA,1992,Direct Deposit,Bi-Weekly,5000,0,Dot 818 $5,800,Checking,,5,-0.767590286
NH,1994,Direct Deposit,Bi-Weekly,2500,0,Dot 818 $5,500,Checking,,5,-0.1756
MA,1995,Direct Deposit,Weekly,2500,0,Loan Transfer,2465,Checking,,0,0.899574037
MA,1994,Direct Deposit,Bi-Weekly,3000,0,Dot 818 $5,500,Checking,,5,0.220114286
MA,1994,Direct Deposit,Weekly,3501,0,Lead Toro $5,500,Checking,,5,-1.15
MA,1969,Direct Deposit,Weekly,3500,0,Dot 818 $5,690,Checking,,0,1.197898551
MA,1987,Direct Deposit,Bi-Weekly,5000,0,Loan Transfer,255,Checking,,0,-0.371607843
MA,1987,Direct Deposit,Weekly,2492,2700,SPRG.com,200,Checking,Day to day expenses,0,0.65955
MA,1957,Direct Deposit,Bi-Weekly,5000,0,Leads Market $5,800,Checking,,5,3.2004
MA,1973,Direct Deposit,Bi-Weekly,5000,0,Lead Toro $5,400,Checking,,0,-1
MA,1988,Direct Deposit,Bi-Weekly,3000,0,Dot 818 $5,500,Checking,,5,1.07895
MA,1990,Direct Deposit,Bi-Weekly,6000,0,Dot 818 $5,500,Checking,,5,-0.904761714
MA,1954,Direct Deposit,Weekly,5000,0,Leads Market $5,1350,Checking,,5,1.150447619
MA,1963,Direct Deposit,Weekly,6000,0,Lead Toro $5,1100,Checking,,5,-0.065272727
MA,1965,Direct Deposit,Weekly,3000,0,Leads Market $5,800,Checking,,5,-0.462571429
MA,1978,Direct Deposit,Weekly,2734,0,Dot 818 $5,500,Checking,,5,0.434257143
MA,1988,Direct Deposit,Weekly,3440,0,PW Other Sites $15,500,Checking,,15,0.8679
MA,1984,Direct Deposit,Semi-Monthly,1405,0,CFRY.com,350,Checking,,0,3.292885714
MA,1995,Direct Deposit,Bi-Weekly,867,0,Leads Market $5,100,Checking,,0,0.273
MA,1995,Direct Deposit,Bi-Weekly,3000,0,Loan Transfer,450,Checking,,0,1.234422222
ME,1961,Direct Deposit,Bi-Weekly,3519,4000,SPRG.com,350,Checking,,0,-0.0574
MA,1966,Direct Deposit,Bi-Weekly,3068,0,SPRG.com,1070,Checking,Other,0,1.109831303
MA,1978,Direct Deposit,Bi-Weekly,4200,0,Loan Transfer,1390,Checking,,0,1.78818705
MA,1967,Direct Deposit,Weekly,3975,0,Leads Market $5,500,Checking,,5,-1.055
MA,1991,Direct Deposit,Weekly,3000,0,Dot 818 $5,800,Checking,,5,-0.9233665
VA,1992,Direct Deposit,Weekly,2223,2300,SPRG.com,500,Checking,Medical - Dental,0,1.692533333
MA,1960,Direct Deposit,Bi-Weekly,6500,0,Dot 818 $5,800,Checking,,5,2.7188934
AL,1961,Direct Deposit,Weekly,3341,4500,PW Other Sites $15,500,Checking,,15,0.294714286
MA,1982,Direct Deposit,Weekly,3000,0,Lead Toro $5,350,Checking,,0,1.281428571
MA,1977,Direct Deposit,Weekly,2500,0,Leads Market $5,250,Checking,,5,1.67955
MA,1982,Direct Deposit,Bi-Weekly,3000,0,Dot 818 $5,500,Checking,,5,3.117485714
MA,1991,Direct Deposit,Bi-Weekly,3000,0,Lead Toro $5,600,Checking,,5,2.57835
MA,1993,Direct Deposit,Weekly,2730,2750,SPRG.com,800,Checking,Other,0,1.325714286
MA,1954,Direct Deposit,Bi-Weekly,3889,0,Lead Toro $5,500,Checking,,0,1.997433333
VA,1962,Direct Deposit,Weekly,3000,0,Dot 818 $5,750,Checking,,0,1.0034
MA,1979,Direct Deposit,Weekly,6200,0,Lead Toro $5,825,Checking,,5,1.458173913
MA,1976,Direct Deposit,Weekly,4500,0,Money Mutual $20,620,Checking,,0,1.516370968
MA,1971,Direct Deposit,Weekly,6067,0,Lead Toro $5,500,Checking,,5,0.06042
MA,1989,Direct Deposit,Bi-Weekly,3500,0,Dot 818 $5,800,Checking,,5,-0.2617
MA,1993,Direct Deposit,Bi-Weekly,4500,0,Leads Market $5,425,Checking,,0,2.91495
MA,1991,Direct Deposit,Weekly,1538,1800,SPRG.com,400,Checking,Day to day expenses,0,-1
GA,1977,Direct Deposit,Weekly,3000,0,Dot 818 $5,450,Checking,,0,1.5256
NH,1965,Direct Deposit,Bi-Weekly,1500,0,Leads Market $5,300,Checking,,0,-0.084066667
MA,1966,Direct Deposit,Bi-Weekly,3500,0,PW Other Sites $15,625,Checking,,0,1.585872
MA,1993,Direct Deposit,Weekly,4838,0,Dot 818 $5,500,Checking,,5,-0.0652
MA,1982,Direct Deposit,Bi-Weekly,8541,8500,SPRG.com,400,Checking,,0,0
MA,1959,Direct Deposit,Weekly,8000,0,PW Other Sites $15,1750,Checking,,15,1.60089697
MA,1982,Direct Deposit,Bi-Weekly,1500,0,Loan Transfer,465,Checking,,0,1.470086022
MA,1971,Direct Deposit,Bi-Weekly,6500,0,Loan Transfer,800,Checking,,0,0.33485
NC,1978,Direct Deposit,Weekly,2500,0,Loan Transfer,710,Checking,,0,0.416676056
ME,1984,Direct Deposit,Bi-Weekly,1733,2268,SPRG.com,200,Checking,Day to day expenses,0,-1
MA,1990,Direct Deposit,Weekly,2600,0,Money Mutual $20,885,Checking,,20,0.214759124
NH,1990,Direct Deposit,Bi-Weekly,2793,2773,Dot 818 $5,200,Checking,,5,1.01445
MA,1995,Direct Deposit,Bi-Weekly,2000,0,Dot 818 $5,595,Checking,,5,1.499966465
MD,1955,Direct Deposit,Semi-Monthly,9166,0,Loan Transfer,1510,Checking,,0,0.098807947
MA,1977,Direct Deposit,Bi-Weekly,6717,0,SPRG.com,700,Checking,Other,0,3.098371429
MA,1974,Direct Deposit,Weekly,2000,0,Leads Market $5,500,Checking,,0,1.52598
MA,1980,Direct Deposit,Weekly,3500,0,Leads Market $5,500,Checking,,5,-1.0125
MA,1987,Direct Deposit,Bi-Weekly,7500,0,Lead Toro $5,500,Checking,,5,0.16442
MA,1991,Direct Deposit,Weekly,3251,0,SPRG.com,925,Checking,Other,0,-0.1392
MA,1991,Direct Deposit,Weekly,2500,0,Leads Market $5,200,Checking,,0,0.3464
TN,1972,Direct Deposit,Weekly,1842,1800,SPRG.com,400,Checking,Medical - Dental,0,1.333
RI,1970,Direct Deposit,Weekly,3500,0,Lead Toro $5,350,Checking,,0,0.336762
MO,1981,Direct Deposit,Weekly,3000,0,Dot 818 $15,700,Checking,,15,0.7291
RI,1982,Direct Deposit,Weekly,2180,0,SPRG.com,1050,Checking,Other,0,0.279415385
RI,1982,Direct Deposit,Bi-Weekly,2500,0,Leads Market $5,800,Checking,,5,-1.127777667
FL,1988,Direct Deposit,Bi-Weekly,6000,0,Loan Transfer,600,Checking,,0,1.914333333
VA,1983,Direct Deposit,Bi-Weekly,1822,1600,SPRG.com,350,Checking,Car repair,0,-0.76
RI,1990,Direct Deposit,Weekly,2000,0,Lead Toro $5,500,Checking,,5,-0.734828571
RI,1989,Direct Deposit,Weekly,1950,5200,SPRG.com,700,Checking,Day to day expenses,0,1.69205
RI,1989,Direct Deposit,Weekly,1500,0,Leads Market $5,800,Checking,,5,0.13796
RI,1959,Direct Deposit,Semi-Monthly,10000,0,Leads Market $5,800,Checking,,5,0.6275
RI,1981,Direct Deposit,Bi-Weekly,2500,0,Dot 818 $5,500,Checking,,5,-0.0774
RI,1971,Direct Deposit,Weekly,5000,0,Dot 818 $5,700,Checking,,5,-0.580857143
RI,1988,Direct Deposit,Weekly,3000,0,Dot 818 $5,500,Checking,,5,-0.34688
RI,1995,Direct Deposit,Weekly,2500,0,Money Mutual $20,500,Checking,,20,1.5592
RI,1978,Direct Deposit,Weekly,3500,0,Leads Market $5,800,Checking,,5,1.64245
TN,1980,Direct Deposit,Bi-Weekly,4500,0,Loan Transfer,280,Checking,,0,0.82725
GA,1983,Direct Deposit,Bi-Weekly,3000,0,Lead Toro $5,500,Checking,,5,-1.025
RI,1987,Direct Deposit,Bi-Weekly,1500,0,Leads Market $5,800,Checking,,5,1.6591
RI,1963,Direct Deposit,Bi-Weekly,4400,0,PW Other Sites $15,500,Checking,,15,1.613114333
RI,1979,Direct Deposit,Weekly,6000,0,Dot 818 $5,800,Checking,,5,1.6257835
RI,1986,Direct Deposit,Bi-Weekly,6000,0,Loan Transfer,400,Checking,,0,1.3492
RI,1984,Direct Deposit,Weekly,4000,0,Dot 818 $5,970,Checking,,5,1.376662083
RI,1996,Direct Deposit,Weekly,1746,3000,SPRG.com,300,Checking,Business,0,-0.4951
MA,1959,Direct Deposit,Weekly,5000,0,Leads Market $5,1650,Checking,,5,1.14784
RI,1964,Direct Deposit,Weekly,5000,0,Leads Market $5,500,Checking,,0,1.52598
VA,1980,Direct Deposit,Bi-Weekly,2500,0,Dot 818 $5,500,Checking,,5,3.148833333
RI,1967,Direct Deposit,Bi-Weekly,3445,3200,SPRG.com,500,Checking,Day to day expenses,0,0.08086
MA,1984,Direct Deposit,Semi-Monthly,1625,0,Dot 818 $5,500,Checking,,5,1.024
RI,1986,Direct Deposit,Bi-Weekly,2500,0,Leads Market $5,500,Checking,,0,-1
MD,1995,Direct Deposit,Weekly,3250,0,Dot 818 $5,200,Checking,,0,0.86875
GA,1977,Direct Deposit,Weekly,2500,0,Dot 818 $5,300,Checking,,0,0.9384
NJ,1979,Direct Deposit,Weekly,2000,0,Leads Market $5,600,Checking,,5,-0.685657143
SC,1984,Direct Deposit,Bi-Weekly,1931,2360,SPRG.com,300,Checking,Other,0,1.162766667
GA,1993,Direct Deposit,Semi-Monthly,3000,0,Leads Market $5,600,Checking,,5,0.28925
NJ,1973,Direct Deposit,Weekly,5417,0,Dot 818 $5,450,Checking,,0,1.687377778
NC,1972,Direct Deposit,Bi-Weekly,2000,0,Dot 818 $15,500,Checking,,15,1.4697
ME,1982,Direct Deposit,Bi-Weekly,3000,0,Lead Toro $5,300,Checking,,5,0.7392
GA,1990,Direct Deposit,Weekly,3653,0,SPRG.com,500,Checking,Car repair,0,1.69205
MA,1992,Direct Deposit,Weekly,3500,0,Lead Toro $5,1180,Checking,,5,1.473483051
GA,1995,Direct Deposit,Weekly,4500,0,Dot 818 $5,500,Checking,,5,0.07796
FL,1970,Direct Deposit,Bi-Weekly,3000,0,PW Other Sites $15,200,Checking,,0,-1.975
NC,1976,Direct Deposit,Weekly,6000,0,Dot 818 $15,500,Checking,,15,-0.3835
